Country,,Year,Rank,Total,Total Discretised,C1 Security Apparatus,C2 Factionalized Elites,C3 Group Grievance,E1 Economy,E2 Economic Inequality,E3 Human Flight and Brain Drain,P1 State Legitimacy,P2 Public Services,P3 Human Rights,S1 Demographic Pressures,S2 Refugees and IDPs,X1 External Intervention,Fertility rate total births per woman,Immunization DPT  of children ages 12 to 23 months,Imports of goods and services  of GDP,Life expectancy at birth female years,People using basic drinking water services rural population,Proportion of seats held by women in national parliaments
Bahamas,,2014,134th,54.1,Low,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4,1.792,96,61.29032,78.32,0,1.3
Bahrain,,2014,120th,64.7,Middle,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6,2.078,98,79.5139,77.693,0,0.8
Bangladesh,,2014,29th,92.8,High,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6,2.165,97,25.52442,73.545,9.7,2
Barbados,,2014,138th,51.4,Low,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,1.794,94,48.81223,77.945,0,1.7
Belarus,,2014,90th,75,Middle,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,1.696,97,55.71042,78.4,9.9,2.7
Belgium,,2014,164th,32,Low,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,1.74,99,82.28729,83.9,10,3.9
Belize,,2014,114th,67,Middle,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6,2.578,95,65.96498,73.003,9.5,0.3
Benin,,2014,74th,78.2,Middle,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6,5.117,78,44.45463,61.825,5.9,0.8
Bhutan,,2014,64th,80.9,Middle,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6,2.128,99,57.33798,69.608,9.8,0.9
Bolivia,,2014,70th,78.9,Middle,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3,2.966,98,41.97138,70.878,7.7,5.3
Bosnia and Herzegovina,,2014,86th,75.9,Middle,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,1.332,86,56.79585,79.065,9.8,2.1
Botswana,,2014,121st,64.5,Middle,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9,2.812,95,53.94247,67.744,5.8,1
Brazil,,2014,125th,61.4,Middle,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3,1.753,93,13.67347,78.707,8.6,1
Brunei Darussalam,,2014,123rd,63.6,Middle,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1,1.888,99,30.60613,78.633,9.9,0
Bulgaria,,2014,133rd,54.4,Low,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7,1.53,88,65.9555,78,9.9,2
Burkina Faso,,2014,39th,89,Middle,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7,5.521,91,39.66498,60.035,4.3,1.9
Burundi,,2014,21st,97.1,High,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5,5.869,95,33.53882,58.666,5.2,3.1
Cambodia,,2014,40th,88.5,Middle,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7,2.634,88,66.70838,70.196,6.8,2
Cameroon,,2014,27th,93.1,High,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5,4.848,87,31.15106,58.335,4.3,3.1
Canada,,2014,168th,27.4,Low,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,1.6,91,32.60297,83.988,0,2.5
Cape Verde,,2014,93rd,74.1,Middle,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,2.419,95,60.68543,74.257,7.2,2.1
Central African Republic,,2014,3rd,110.6,High,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9,5.006,47,37.56253,52.353,4.1,0
Chad,,2014,6th,108.7,High,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2,6.155,37,42.46516,53.396,3.2,1.5
Chile,,2014,153rd,42,Low,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,1.798,95,32.08169,81.569,10,1.6
China,,2014,68th,79,Middle,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5,1.61,99,21.57191,77.503,9.4,2.3
Colombia,,2014,59th,83.1,Middle,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8,1.897,90,21.38324,77.656,8.5,2
Comoros,,2014,54th,85.1,Middle,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8,4.491,87,60.29883,64.918,8,0.3
Congo Democratic Republic,,2014,4th,110.2,High,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8,6.286,80,42.32528,60.235,2.1,1.1
Congo Republic,,2014,37th,89.6,Middle,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9,4.778,90,70.25264,65.14,3.6,0.7
Costa Rica,,2014,140th,48.5,Low,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6,1.819,91,34.73681,81.943,9.9,3.3
Cote dIvoire,,2014,14th,101.7,High,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4,5.039,76,34.4242,54.035,5.4,0.9
Croatia,,2014,136th,52.9,Low,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7,1.46,95,44.42241,80.5,10,2.4
Cuba,,2014,107th,70.8,Middle,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,1.713,99,17.19027,81.502,8.9,4.9
Cyprus,,2014,112th,67.9,Middle,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,1.36,99,60.13924,82.388,10,1.3
Czech Republic,,2014,154th,39.4,Low,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,1.53,97,76.18126,82,10,2
Denmark,,2014,176th,22.8,Low,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,1.69,94,47.55912,82.8,10,3.9
Djibouti,,2014,45th,87.1,Middle,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,2.982,78,49,63.661,5.5,1.3
Dominican Republic,,2014,95th,73.4,Middle,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,2.481,91,30.7326,76.742,8.5,2.1
Ecuador,,2014,79th,77.3,Middle,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9,2.542,83,29.49744,78.685,8,4.2
Egypt,,2014,31st,91,High,7.9,9.4,8.6,7.9,6.8,5.1,9,5.7,9.7,7.1,6.4,7.4,3.336,94,22.67606,73.354,9.8,0
El Salvador,,2014,100th,72,Middle,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,2.126,94,43.57168,77.447,8.2,2.7
Equatorial Guinea,,2014,52nd,85.3,Middle,7.2,8.2,6.6,4.2,8.8,6.3,9.7,7.4,9.5,8,3.6,5.8,4.864,20,38.90727,58.703,3.1,2.4
Eritrea,,2014,23rd,95.5,High,7.6,8.1,6.4,8,7.2,7.5,8.8,8.4,9.2,8.5,7.3,8.5,4.285,94,74,66.331,0.6,2.2
Estonia,,2014,147th,45.2,Low,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,1.54,93,79.53727,81.9,9.9,1.9
Ethiopia,,2014,19th,97.9,High,8.1,8.7,8.9,7.4,7.3,6.7,7.1,8.9,8,9.4,9,8.4,4.437,77,29.09946,66.38,2.8,2.8
Fiji,,2014,68th,79,Middle,7,7.9,7.3,7,7.1,7.3,7.8,4.8,7.2,5,3.7,6.9,2.565,99,63.64368,73.153,8.9,1.4
Finland,,2014,178th,18.7,Low,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,1.71,98,38.15227,84.1,10,4.3
France,,2014,160th,34.8,Low,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,2.01,98,30.82419,86,10,2.6
Gabon,,2014,99th,72.2,Middle,5.1,7.1,3.6,5.1,7,5.5,7.7,7.1,6.6,6.9,5.3,5.2,3.91,70,28.99949,66.714,5.7,1.5
Gambia,,2014,59th,83.1,Middle,5.2,6.8,3.7,7.5,7.1,7.4,7.5,7.8,8.3,7.9,6.7,7.2,5.544,96,38.31482,62.064,6.8,0.9
Georgia,,2014,63rd,82.7,Middle,7.6,9.5,8,6.3,6.2,5.5,8.7,5.1,6.1,4.9,7.2,7.6,2.003,91,60.47015,77.183,8.7,1.2
Germany,,2014,165th,30.6,Low,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,1.47,95,39.12905,83.6,10,3.7
Ghana,,2014,108th,70.7,Middle,4.1,5,4.9,6,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3,4.096,98,48.92785,63.11,6.5,1.1
Greece,,2014,137th,52.1,Low,4.2,3.5,5.1,6.5,4,4.1,6.4,3.6,3.7,3.5,1.9,5.6,1.3,99,34.93912,84.1,10,2.1
Grenada,,2014,118th,65.2,Middle,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4,5.5,3.5,7.4,2.148,97,44.23718,75.838,0,3.3
Guatemala,,2014,66th,80.3,Middle,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7,3.089,73,33.5595,76.037,8.9,1.3
Guinea,,2014,12th,102.7,High,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3,5.014,51,52.98719,59.333,5.4,2.2
Guinea Bissau,,2014,16th,100.6,High,8.6,9.6,6,8.4,8.1,8.3,9.3,9.1,7.5,8.5,8.1,9.1,4.784,87,31.2028,58.303,5.3,1.4
Guyana,,2014,106th,71,Middle,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,2.559,98,73.30582,68.772,9.3,3.1
Haiti,,2014,9th,104.3,High,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8,3.033,48,52.73277,64.912,4,0.4
Honduras,,2014,75th,77.9,Middle,6.4,7,6.1,6.6,7.8,6.3,7,6.7,6,6.7,4.2,7.1,2.559,97,65.41244,75.717,8.3,2.6
Hungary,,2014,141st,48.3,Low,2.6,4.9,4.4,5.6,4.6,3.6,6,3.2,4.1,2.8,2.8,3.7,1.44,99,81.71348,79.4,10,1
Iceland,,2014,171st,25.9,Low,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,1.93,90,47.0057,84.5,10,4
India,,2014,81st,76.9,Middle,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,2.384,85,26.00186,69.561,8.4,1.1
Indonesia,,2014,82nd,76.8,Middle,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,2.414,78,24.41419,70.99,8,1.7
Iran,,2014,44th,87.2,Middle,8.3,9.4,8.8,6.4,6.4,5.9,8.7,4.8,9.3,5.3,6.8,7.1,1.708,99,18.89421,76.625,8.9,0.3
Iraq,,2014,13th,102.2,High,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9,4.476,64,36.9489,71.71,7.6,2.5
Ireland,,2014,170th,26.1,Low,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,1.94,96,95.86995,83.5,9.9,1.6
Israel and West Bank,,2014,67th,79.5,Middle,6.8,8.1,9.7,4,7.2,3.5,6.6,5.6,7.1,6.3,7.1,7.5,3.08,95,30.39006,84.1,10,2.3
Italy,,2014,148th,43.4,Low,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,1.37,95,26.45326,85.6,10,3.1
Jamaica,,2014,119th,64.9,Middle,6,3.7,4,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6,2.047,92,53.49276,78.114,8.8,1.3
Japan,,2014,157th,36.3,Low,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,1.42,96,20.0124,86.83,0,0.8
Jordan,,2014,83rd,76.7,Middle,5.5,6.9,7.4,6.6,6.2,3.9,6.4,5,7.3,6.7,8.3,6.5,3.506,98,69.73825,75.769,9.7,1.2
Kazakhstan,,2014,111th,68.5,Middle,6,7.6,6.5,5.9,5,3.9,7.7,4.8,7.2,5.1,3.8,5,2.74,95,25.63028,75.94,8.3,2.5
Kenya,,2014,18th,99,High,8.2,9.3,9.3,7.9,8,7.8,8.4,8.2,6.8,8.7,8.2,8.2,3.989,92,33.00277,68.645,4.9,1.9
Kuwait,,2014,127th,59,Low,4.2,8,4.9,3.3,5,3.4,7.3,2.8,6.9,5.4,3.7,4.1,2.011,95,31.53073,75.695,0,0.2
Kyrgyz Republic,,2014,58th,83.9,Middle,7.1,8,8.2,7.3,6.7,6.1,8.2,5.9,7.3,6,5.5,7.6,3.2,96,87.67753,74.5,8.1,2.3
Laos,,2014,56th,84.3,Middle,6.3,8.3,6,5.8,6.6,7.1,8.6,7.4,8,7.4,5.9,6.9,2.823,88,49.76159,67.45,7.1,2.5
Latvia,,2014,142nd,48,Low,3.3,4.3,5.8,4.3,4.6,4.1,4.2,3.7,3.3,3.7,3.2,3.5,1.64,92,61.42488,79.4,9.8,1.8
Lebanon,,2014,46th,86.9,Middle,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,1.713,81,69.35574,81.142,0,0.3
Lesotho,,2014,72nd,78.6,Middle,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5,3.186,93,86.8887,55.499,6.5,2.7
Liberia,,2014,24th,94.3,High,6.8,8.3,6.5,8,8,6.9,6.9,9.3,6.3,8.5,9.1,9.7,4.721,50,108.5363,62.457,5.9,1.1
Libya,,2014,41st,87.8,Middle,9.2,8.1,7.5,6.1,6.4,5.5,8.5,7.4,8.7,5.7,5.7,9,2.345,94,87,74.643,0,1.6
Lithuania,,2014,149th,43.2,Low,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,1.63,93,78.97912,80.1,9.3,2.4
Luxembourg,,2014,172nd,24.6,Low,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,1.5,99,172.3199,85.2,10,2.8
Macedonia,,2014,116th,66.4,Middle,5.7,7,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5,5.9,1.513,95,64.87507,77.416,9.8,3.3
Madagascar,,2014,59th,83.1,Middle,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6,4.303,73,42.76166,66.663,3.3,2.1
Malawi,,2014,38th,89.1,Middle,5.1,7.7,5.7,8.3,8.1,8.4,7.6,8.1,6.5,8.8,6.4,8.4,4.74,91,39.62506,64.395,6.2,1.7
Malaysia,,2014,117th,66.2,Middle,6.5,7,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1,2.074,97,64.51739,77.376,8.9,1
Maldives,,2014,88th,75.4,Middle,5.8,8.3,4.9,6.7,4.2,5.9,8.4,6.4,7.4,5.7,5,6.7,2.165,99,89.0705,77.911,10,0.6
Mali,,2014,36th,89.8,Middle,8,4.9,7.5,7.9,7.1,8.1,5.9,8.6,6.8,9,7.5,8.5,6.231,73,32.01929,57.671,6.1,1
Malta,,2014,151st,43,Low,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,1.42,99,137.3351,84.2,10,1.4
Mauritania,,2014,28th,93,High,7.7,8.5,7.2,7.7,6.8,6,7.4,8.6,7.7,8.4,8.8,8.2,4.794,84,65.77791,64.372,4.4,2.5
Mauritius,,2014,145th,46.1,Low,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9,1.43,97,62.22995,77.58,10,1.9
Mexico,,2014,105th,71.1,Middle,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,2.243,87,33.36486,79.191,9.2,3.7
Micronesia,,2014,91st,74.6,Middle,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,3.243,77,56,70.073,8.6,0
Moldova,,2014,89th,75.1,Middle,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,1.256,90,78.52655,75.522,7.9,1.8
Mongolia,,2014,129th,58.1,Low,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2,2.811,99,57.07331,73.099,5.5,1.5
Montenegro,,2014,131st,55.7,Low,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6,1.69,91,59.98392,79.081,9.7,1.7
Morocco,,2014,92nd,74.4,Middle,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,2.555,99,46.84442,76.425,6.1,1.7
Mozambique,,2014,50th,85.9,Middle,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,5.365,79,84.76327,59.143,3,0
Myanmar,,2014,24th,94.3,High,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9,2.256,88,22.16847,68.571,5.9,0.6
Namibia,,2014,103rd,71.5,Middle,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2,3.522,88,62.68413,65.677,6.3,0
Nepal,,2014,31st,91,High,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3,2.218,92,40.75011,71.096,8.7,3
Netherlands,,2014,166th,28.6,Low,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,1.71,96,71.72312,83.5,10,3.9
New Zealand,,2014,173rd,24.1,Low,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,1.92,93,27.19385,83.3,10,3
Nicaragua,,2014,73rd,78.4,Middle,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6,2.264,98,61.69013,77.89,6.1,4.2
Niger,,2014,19th,97.9,High,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6,7.338,68,39.2019,60.227,3.5,1.3
Nigeria,,2014,17th,99.7,High,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6,5.653,49,12.45007,53.304,5.2,0.7
North Korea,,2014,26th,94,High,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4,1.97,93,50.7,73.9,9.9,1.6
Norway,,2014,175th,23,Low,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,1.75,93,29.95735,84.2,10,4
Oman,,2014,135th,53.1,Low,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5,2.799,99,46.71715,79.055,7.6,0.1
Pakistan,,2014,10th,103,High,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3,3.617,72,18.65866,67.128,8.7,2.1
Panama,,2014,131st,55.7,Low,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5,2.565,80,61.41325,80.757,8.7,1.9
Papua New Guinea,,2014,57th,84.1,Middle,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,3.759,73,67,67.73,2.9,0.3
Paraguay,,2014,102nd,71.6,Middle,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,2.542,87,42.8817,75.12,9.5,1.5
Peru,,2014,97th,72.9,Middle,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4,2.456,88,24.21476,77.2,7.1,2.2
Philippines,,2014,52nd,85.3,Middle,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2,2.992,67,32.55891,72.349,8.5,2.7
Poland,,2014,152nd,42.1,Low,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,1.32,98,46.14748,81.7,9.6,2.4
Portugal,,2014,162nd,33.1,Low,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,1.23,98,39.88538,84.4,10,3.1
Qatar,,2014,139th,48.9,Low,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7,1.95,89,31.03624,79.584,0,0
Romania,,2014,130th,56.9,Low,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3,1.52,94,41.63178,78.7,10,1.4
Russia,,2014,85th,76.5,Middle,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,1.75,97,20.64592,76.47,9,1.4
Rwanda,,2014,34th,90.5,High,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1,4.058,98,32.91255,68.241,4.8,6.4
Samoa,,2014,110th,69.3,Middle,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3,4.086,63,52.4548,77.79,9.5,0.6
Sao Tome and Principe,,2014,87th,75.8,Middle,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,4.578,95,34.87,68.445,7.3,1.8
Saudi Arabia,,2014,96th,73.1,Middle,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3,2.635,98,33.76518,75.914,0,2
Senegal,,2014,62nd,82.8,Middle,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2,4.904,89,47.28428,68.239,6.2,4.3
Serbia,,2014,100th,72,Middle,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,1.46,93,54.22296,78,9.2,3.4
Seychelles,,2014,122nd,63.7,Middle,6.4,5.7,4.8,4.9,6.3,5.2,6,3.5,4.9,5.4,3.4,7.2,2.3,99,98.19419,78.3,0,4.4
Sierra Leone,,2014,35th,89.9,Middle,5.1,7.7,5.9,8.3,8.5,8.3,7.2,9.1,5.9,8.7,7.8,7.4,4.672,83,52.42576,51.505,4.5,1.2
Singapore,,2014,158th,35.9,Low,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,1.25,96,168.868,84.8,0,2.5
Slovak Republic,,2014,146th,45.3,Low,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,1.37,97,88.23627,80.5,9.7,1.9
Slovenia,,2014,163rd,32.6,Low,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,1.58,95,68.93824,84.1,9.9,3.6
Solomon Islands,,2014,47th,86.4,Middle,6.7,8,6.8,7.5,8.6,6,7,7.9,6,8.2,5.2,8.5,3.968,88,62.04197,71.661,5.8,0.2
Somalia,,2014,2nd,112.6,High,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2,6.464,42,61.66106,57.138,1.9,1.4
South Africa,,2014,115th,66.6,Middle,4.9,5.6,5.8,5.8,7.7,4.6,5,6.1,4.3,7.4,6.2,3.2,2.51,77,32.94571,64.555,6.2,4.2
South Korea,,2014,156th,36.4,Low,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,2.554,65,31.17582827,61.884,6,4.3
South Sudan,,2014,1st,112.9,High,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9,5.022,39,34.01263,56.805,4.6,2.7
Spain,,2014,150th,43.1,Low,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,1.32,97,30.2498,86.2,10,4
Sri Lanka,,2014,30th,92.6,High,8.2,9.4,9.3,6.2,7.5,7.6,8.3,5.3,9.1,6.5,8.5,6.7,2.083,99,29.16211,78.273,9,0.6
Sudan,,2014,5th,110.1,High,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6,4.656,94,11.3097,65.561,5,2.4
Suriname,,2014,109th,70.6,Middle,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2,2.421,85,52.91431,74.424,8.8,1.2
Swaziland,,2014,51st,85.8,Middle,5.7,7,3.6,8.9,7.8,6.6,8.8,7.7,8,8.7,5.2,7.8,3.204,98,53.80253,59.505,5.9,0.6
Sweden,,2014,177th,21.4,Low,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,1.88,98,40.7175,84.2,10,4.5
